Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
1,Languages Translation Services,(888) 519-3521,,http://www.advancedtranslationservices.com,"Indianapolis, IN",2024-01-24 08:21:51,,info@languages-translation.info,,,"Translators & Interpreters, Business & Personal Coaches, Recording Service-Sound & Video",,,,For quickest response email us!,"Welcome to Languages Translation Services.  We specialize in providing document and web site translations, on-site, simultaneous and consecutive interpretation, telephone interpretation, proof reading, editing of scientific papers, audio/video recording /voice over, transcription, localization, Desktop Publishing, teaching, film subtitling, interview research, etc. and related services.  Our agency currently employs over 2,000 Translators, Interpreters, Desktop Publishers, video/audio recorders (narrators/voiceover artists), etc. who support over 250 languages.  Our quality control system is well established, strict, and it is performed in many steps in order to ensure the highest quality review, translation, proofreading, editing, and certification process.  Our working system is not like that of a single freelance translator who translates the job by himself/herself and submits it to his/her client. In that case, there is no guarantee that the job is done accurately as there is no quality control mechanism which involves independent proofreader/editor, and quality control and formatting experts. The client has to take more of his/her time to find a proofreader.You will save time if you give us all your jobs.  In LTS, in order to assure the highest quality translation, and make sure that the formatting of the translated document is like the mirror image of the source document, at least three professionals (a translator, an independent proofreader/editor, and quality control and formatting experts) are involved in our working system.",http://www.yellowpages.com/federal-way-wa/mip/languages-translation-services-20944161?lid=1001710069091,"https://i4.ypcdn.com/blob/65e544cebcd57f379ed23728372db4d719a434c4_573x422_crop.jpg, https://i4.ypcdn.com/blob/d07214b38509782a9199eea3ad2df97f74358a4e_475x422_crop.jpg, https://i3.ypcdn.com/blob/66cfafcc9497b271d0376ab6da8aed8dfd066659_475x422_crop.jpg, https://i4.ypcdn.com/blob/f5d51b1ed9deb91d33b1822179a954e085f114b8_475x422_crop.jpg, https://i4.ypcdn.com/blob/57cd84de71a6c4b1f9372d5ab2ad76a975f806d9_475x422_crop.jpg, https://i3.ypcdn.com/blob/fb52d71d2515529aa5a865608694d890bba7f898_312x312_crop.jpg, https://i2.ypcdn.com/blob/749a351933f97325d35d1398319cd43203e0814f_599x347_crop.jpg, https://i3.ypcdn.com/blob/2100864d515e3327135f853ae83b76dbb34ab588_599x347_crop.jpg"
2,Terra Nova Digital Audio,(512) 891-8010,"5446 W Highway 290, Austin, TX 78735",http://www.terranovamastering.com,"Austin, TX",2024-01-24 08:21:23,"Oak Hill, East Oak Hill",ally@alysondesign.com,TollFree:  (800) 952-7227,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,"Mon - Thu: 10:30 am - 5:00 pm, Fri: 10:30 am - 3:30 pm, Sat - Sun Closed",,"About Our Company TERRA NOVA DIGITAL AUDIO, INC was established in 1990 by Jerry and Diane Tubb in Austin, Texas. Jerry, being an accomplished musician, educator, and recording professional, saw the need for a professional audio mastering and editing studio to provide services previously unavailable regionally. Terra Nova was the first of its kind in the central Texas area, and has been totally committed to providing the services our clients need to fulfill their creative visions and to bring their projects to a complete professional level. Through the evolution of Terra Nova, the client list has grown to grand proportions, and the commitment to high quality continues, the same as the day the business began. The mastering process is an essential step for a polished, professional product. The sound is everything. This high tech digital age has elevated the ""ears"" of the average listener to a high level of sophistication. The average listener may not be able to measure exactly why one CD sounds better than another, but they know there is a difference. Sonic quality is our main concern. Our engineers have exceptional abilities at analyzing the sonic quality of audio productions. We are specialists at getting the best results for our client's recordings. We have mastered virtually every genre of music and spoken word, and our engineers are also experts at archiving and restoration. When a client has completed the recording and mixing of a project, the mastering process is the next step toward a complete professional sound. When a client contacts Terra Nova about scheduling a session, they will need to tell the staff the final mix format, the length of the project ( in minutes ), the number of tracks, the format the project will be mastered for ( i.e., DVD Surround, CD, or vinyl duplication ). It is helpful if the client knows his/her goals for their particular project, whether they are planning to sell CD's or DVD's to the public, for promotional or demo purposes, to get a record label interested, or for the client's own enjoyment. Having this information when contacting Terra Nova to set up a session will enable the staff to give an estimate of the time and money that will be involved. The client can then plan a budget. Our staff is always ready to provide our clients with the best, most professional service that they deserve. We are here to help our clients realize their full potential as artists. Terra Nova Digital Audio, Inc moved into new facilities in July of 2002. The new studio is located about 8 miles west of downtown Austin, Texas, in the Oak Hill area. Our new location is easily accessible from all areas, major freeways, and about 20 minutes from the airport. Our facilities provide a spacious, comfortable, and relaxed atmosphere for the clients. We have two mastering suites, including complete DVD surround mastering capabilities. We are just minutes from restaurants and overnight accommodations",http://www.yellowpages.com/austin-tx/mip/terra-nova-digital-audio-6924715,https://i1.ypcdn.com/blob/561ec8574d501029d1951a0340c97aeeba1c74da_573x422_crop.jpg
3,Music Lane Recording,(512) 476-1567,"500 San Marcos St, Austin, TX 78702",http://www.musiclanerecording.com,"Austin, TX",2024-01-24 08:21:25,East Cesar Chavez,zapatoazul@hotmail.com,Phone:  (512) 289-4333,,"Recording Service-Sound & Video, CD, DVD & Cassette Duplicating Services, Studio Rental",,,,,,http://www.yellowpages.com/austin-tx/mip/music-lane-recording-473039805,https://i3.ypcdn.com/blob/e481f42ed99194705c09f1f74c74ee42f94ab92a_573x422_crop.jpg
4,Soundcrafter,(512) 457-0518,"1501 W 5th St Ste 102, Austin, TX 78703",,"Austin, TX",2024-01-24 08:21:26,Old West Austin,,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/austin-tx/mip/soundcrafter-16259449,
5,Congress House Studio,(512) 444-5762,"7308 S Congress Ave, Austin, TX 78745",http://congresshouse.com,"Austin, TX",2024-01-24 08:21:27,,mark@congresshouse.com,Phone:  (512) 445-3449,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,"Parking: Street, Valet, Wi-Fi: No, Bike Parking: Yes, Attire: Dressy, Wheelchair Accessible: No, Pets Allowed: No, Takes Reservations: No, Outdoor Seating: Yes",Mon - Sun: 12:00 pm - 6:00 pm,,,http://www.yellowpages.com/austin-tx/mip/congress-house-studio-7893086,https://i1.ypcdn.com/blob/456fdd11589bae7617c8b1ecd7c1bf52606e18e9_573x422_crop.jpg
6,Brainmachine Recording Studio,(512) 836-3100,"9705 Burnet Rd, Austin, TX 78758",,"Austin, TX",2024-01-24 08:21:28,"North Burnet - Gateway, North Burnet",thebrainmachine@gmail.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Fri - Sun: 10:00 am - 10:00 pm,,,http://www.yellowpages.com/austin-tx/mip/brainmachine-recording-studio-6013116,
7,Hi Q Production,(512) 587-2928,"54 Rainey St, Austin, TX 78701",http://www.hiqproduction.com,"Austin, TX",2024-01-24 08:21:29,Downtown Austin,Info@HiQProduction.com,MobilePhone:  (512) 619-7109,,"Recording Service-Sound & Video, Audio-Visual Production Services, Sound System Consultants, Sound Systems & Equipment, Wedding Music & Entertainment",,,,,,http://www.yellowpages.com/austin-tx/mip/hi-q-production-472746100,
8,Stinson Recording Studio,(512) 231-0344,"5717 Penny Creek Dr, Austin, TX 78759",http://stinsonstudios.com,"Austin, TX",2024-01-24 08:21:30,Northwest Austin,newmanj@mail.utexas.edu,,,Recording Service-Sound & Video,Regular Hours,,"Mon - Fri: 9:00 am - 5:00 pm, Sat: 9:00 am - 1:00 pm",,,http://www.yellowpages.com/austin-tx/mip/stinson-recording-studio-30248194,
9,Yellow Dog Studios,(512) 326-1593,"104 W Annie St, Austin, TX 78704",http://yellowdogstudios.com,"Austin, TX",2024-01-24 08:21:30,Bouldin Creek,,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,"Mon: 9:00 am - 5:00 am, Tue Closed, Wed - Sat: 12:00 am - 5:00 am, Sun: 9:00 am - 12:00 am",Indie. Innovative. Intelligent.,,http://www.yellowpages.com/austin-tx/mip/yellow-dog-studios-468056384,
10,Music Lab Rehearsal & Recording Studio,(512) 707-0560,"500 E Saint Elmo Rd, Austin, TX 78745",,"Austin, TX",2024-01-24 08:21:31,"South Congress, West Congress",info@musiclab.net,Fax:  (512) 707-2946,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: 9:00 am - 9:00 pm,,,http://www.yellowpages.com/austin-tx/mip/music-lab-rehearsal-recording-studio-4234436,
11,Cedar Creek Rec,(512) 433-6939,"5012 Brighton Rd, Austin, TX 78745",http://www.cedarcreekrecording.com,"Austin, TX",2024-01-24 08:21:32,South Manchaca,CedarCreekRecording@me.com,Phone:  (512) 433-6617 Phone:  (512) 444-0226,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",Regular Hours,,Mon - Fri: 10:00 am - 5:00 pm,,,http://www.yellowpages.com/austin-tx/mip/cedar-creek-rec-7796195,
12,Same Sky Productions Inc,(512) 351-9392,"803 Josephine St, Austin, TX 78704",https://same-sky.com,"Austin, TX",2024-01-24 08:21:33,"South Lamar, Zilker",,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/austin-tx/mip/same-sky-productions-inc-473360552,
13,Montop Studios,(512) 457-1694,"903 Montopolis Dr, Austin, TX 78741",http://www.montopstudios.com,"Austin, TX",2024-01-24 08:21:34,,deristaylor@gmail.com,,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,Mon - Sat: 9:00 am - 12:00 am,,"Sundays, appointment only.",http://www.yellowpages.com/austin-tx/mip/montop-studios-523782815,"https://i2.ypcdn.com/blob/3996dc87bc47e8899d088100a8b0f8718ee03953_573x422_crop.jpg, https://i3.ypcdn.com/blob/cd3df55cfc3221cc2cf669af7b24dcbcde58a56d_475x422_crop.jpg, https://i3.ypcdn.com/blob/5ac5bbe5f16a058b136439d2840b0125b6312f15_475x422_crop.jpg, https://i4.ypcdn.com/blob/205a5b4f42a83132222475a98f432c924937a834_475x422_crop.jpg, https://i4.ypcdn.com/blob/be81458c2bb64c6e9d37c75520e1b024636c9b80_475x422_crop.jpg"
14,Soundcraft,(512) 494-5004,"4113 Marathon Blvd, Austin, TX 78756",http://www.soundcrafter.com,"Austin, TX",2024-01-24 08:21:34,Rosedale,info@soundcrafter.com,Phone:  (512) 457-0518,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,"Projects are either supervised ""in-house"" or ""off-site."" Soundcrafter also functions as a subcontractor or rental facility for designing, editing, ADR recording, foley recording or re-record mixing. All sizes of projects are welcome, from studio features to student shorts. For ""in-house"" projects there are three different rates based on whether the project is studio/commercial, independent or student. Soundcrafter also provides guidelines on the organization and editing of audio so filmmakers with limited budgets can complete some of the work themselves.",http://www.yellowpages.com/austin-tx/mip/soundcraft-480781121,
