name,email,phone,website,address,YPrank,YPneighborhood,YPextra_phones,YPhours,YPsocial_links,YPcategories,YPother_info,YPsearch_location,YPsearch_term,TPsearch_datetime
Languages Translation Services,info@languages-translation.info,(888) 519-3521,http://www.advancedtranslationservices.com,,1,,,,,"Translators & Interpreters, Business & Personal Coaches, Recording Service-Sound & Video ",,Indianapolis,Recording Studio,1706036113.50014
The Lodge Recording Studio,operations@thelodgestudios.com,(317) 568-0000,http://www.thelodgestudios.com,"3350 Roosevelt Ave, Indianapolis, IN 46218",2,Martindale - Brightwood,,,,"Recording Service-Sound & Video, Studio Rental ",,Indianapolis,Recording Studio,1706036113.50014
Azmyth Recording,azmythrecording@yahoo.com,(317) 849-2009,http://www.azmythrecording.com,"5210 E 65th St, Indianapolis, IN 46220",3,"Allisonville, Eastwood",Phone:  (317) 848-3847,OPEN NOW,,"Recording Service-Sound & Video, Studio Rental ","Parking, : Lot",Indianapolis,Recording Studio,1706036113.50014
M Productions,info@mproco.com,(317) 721-4776,http://mproco.com,"8481 Bash St, Indianapolis, IN 46250",4,"Castleton, Hearth Stone",Phone:  (317) 402-1436,OPEN NOW,,"Recording Service-Sound & Video, Recording Studio Equipment ",,Indianapolis,Recording Studio,1706036113.50014
Video Fotografía,,(317) 403-8779,,"2908 S Kenmore Rd, Indianapolis, IN 46203",5,"Southeast Indianapolis, Glenroy Village",,,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Round Table Recording,,(317) 981-5351,https://thertrc.com/education-contact,"6345 Carrollton Ave, Indianapolis, IN 46220",6,,,OPEN NOW,,"Recording Service-Sound & Video, Music Producers, Recording Studio Equipment, Studio Rental ",,Indianapolis,Recording Studio,1706036113.50014
416 Wabash,,(317) 748-3844,http://www.416wabash.com,"416 E Wabash St, Indianapolis, IN 46204",7,Downtown Indianapolis,,OPEN 24 Hours,,Recording Service-Sound & Video ,"Parking, : Garage, Paid, Lot, Free",Indianapolis,Recording Studio,1706036113.50014
Warfare Entertainment,,(317) 284-4852,https://warfare-entertainment.ueniweb.com/legal-notice,"3754 Baltimore Ave, Indianapolis, IN 46218",8,,,,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Caboose Productions,,(317) 545-5165,http://www.caboosepro.com,"2204 Duke St, Indianapolis, IN 46205",9,Fairgrounds,Phone:  (317) 545-6110 Fax:  (317) 547-4668,,,"Recording Service-Sound & Video, Recording Studio Equipment ",,Indianapolis,Recording Studio,1706036113.50014
Edit Pointe,t.douglass@webize.com,(317) 822-3717,http://www.creativestreet.com/video.aspx,"345 Massachusetts Ave, Indianapolis, IN 46204",10,Downtown Indianapolis,Phone:  (317) 822-3722 Phone:  (317) 822-3715,,,"Recording Service-Sound & Video, Studio Rental ",,Indianapolis,Recording Studio,1706036113.50014
Ripple FX,,(317) 255-7618,http://www.ripplefx.com,"6330 Ferguson St, Indianapolis, IN 46220",11,Broad Ripple,Fax:  (317) 255-7663,,,"Recording Service-Sound & Video, Studio Rental ",,Indianapolis,Recording Studio,1706036113.50014
Urban Genius Records,,(317) 384-8985,https://www.jaronmarquis.com,"136 E Market St, Indianapolis, IN 46204",12,Downtown Indianapolis,,,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Roamans,,(317) 266-3300,,"2300 Southeastern Ave, Indianapolis, IN 46201",13,Near Southeast,Fax:  (317) 266-3393,,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Citydump Records,,(317) 506-3135,https://www.citydumprecords.com,"1805 Howard St, Indianapolis, IN 46221",14,West Indianapolis,Phone:  (317) 634-1340,OPEN 24 Hours,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Main Event Sound & Lighting,kelly@maineventsound.com,(317) 402-8424,http://www.maineventsound.com,"5602 Elmwood Ave, Indianapolis, IN 46203",15,Beech Grove,,OPEN NOW,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Scattered Origin Records,,(317) 413-4870,http://scatteredorigin.com/contact-us,"Po Box 20866, Indianapolis, IN 46220",16,,,OPEN NOW,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
Humble Creations Studios,info@humblecreationsmc.com,(317) 762-6640,https://www.humblecreationsmc.com,"5060 E 62nd St Ste 100, Indianapolis, IN 46220",17,,,OPEN NOW,,"Recording Service-Sound & Video, Music Producers, Music Schools ",,Indianapolis,Recording Studio,1706036113.50014
Skrewface Entertainment,,(317) 209-9440,,"6242 La Pas Trl, Indianapolis, IN 46268",18,,,,,"Recording Service-Sound & Video, Record Labels ","Parking, : Lot, Free, Wheelchair Accessible, : Yes",Indianapolis,Recording Studio,1706036113.50014
Kane's Recording Studio,,(317) 864-0364,https://kanesrecordingstudio.com,"11903 E Welland St, Indianapolis, IN 46229",19,,,,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
MTM Mastering,rsimonton@mtmmastering.com,(317) 549-3393,http://www.mtmmastering.com,"3948 N Dequincy St, Indianapolis, IN 46226",20,"Devington, Central Indianapolis",,,,"Music Arrangers & Composers, Music Producers, Musicians, Record Labels, Recording Service-Sound & Video ",,Indianapolis,Recording Studio,1706036113.50014
Edge Media Studios,,(317) 942-3689,http://edgemedia.studio,"1317 North Pennsylvania Street, Suite B, Indianapolis, IN 46202",21,,Phone:  (317) 882-8500,OPEN NOW,,"Studio Rental, Recording Service-Sound & Video ",,Indianapolis,Recording Studio,1706036113.50014
PSAV,,(317) 423-3145,http://www.psav.com,"50 W Washington St, Indianapolis, IN 46204",22,Downtown Indianapolis,,,,"Telecommunications Services, Convention Services & Facilities, Designers-Industrial & Commercial, Recording Service-Sound & Video, Telecommunications Consultants, Telecommunications-Equipment & Supply, Video Production Services, Video Production Services-Commercial ","Services, : Audio-Visual Equipment Repair",Indianapolis,Recording Studio,1706036113.50014
Indiana Deposition Services,IndianaCLVS@gmail.com,(317) 757-5453,http://www.indeposerve.com,"3003 Stamm Ave, Indianapolis, IN 46240",23,Clearwater,,,,"Video Production Services, Audio-Visual Production Services, Recording Service-Sound & Video ",,Indianapolis,Recording Studio,1706036113.50014
Obam Entertainment LLC,obamentertainment@gmail.com,(513) 371-1732,,"8855 Bash St, Indianapolis, IN 46256",24,,,OPEN NOW,,"Aerial Photographers, Photography & Videography, Portrait Photographers, Recording Service-Sound & Video, Wedding Photography & Videography ",,Indianapolis,Recording Studio,1706036113.50014
M&S Public Relations,,(317) 499-9870,,"Indianapolis, IN 46235",25,,,,,"Record Labels, Recording Service-Sound & Video, Recording Studio Equipment ",,Indianapolis,Recording Studio,1706036113.50014
Bongo Boy Music Inc,lisa@bongoboymusic.com,(317) 595-9065,http://www.bongoboymusic.com,"8481 Bash St Ste 1100, Indianapolis, IN 46250",26,"Castleton, Hearth Stone",,OPEN NOW,,"Music Instruction-Instrumental, Recording Service-Sound & Video ","Parking, : Lot, Price Range , : Average, Good for Kids, : Yes",Indianapolis,Recording Studio,1706036113.50014
DD Professional Audio,dorshdeans@gmail.com,(832) 445-7421,,"5026 Boulevard Pl, Indianapolis, IN 46208",27,Central Indianapolis,,OPEN 24 Hours,,"Disc Jockeys, Recording Service-Sound & Video ",,Indianapolis,Recording Studio,1706036113.50014
About Him Recording Studio,abouthimstudio@aol.com,(317) 222-6210,,,28,,Phone:  (317) 491-0138,OPEN NOW,,"Recording Service-Sound & Video, CD, DVD & Cassette Duplicating Services ",,Indianapolis,Recording Studio,1706036113.50014
Boomtunes Studios,,(317) 826-2918,,,29,,,,,Recording Service-Sound & Video ,,Indianapolis,Recording Studio,1706036113.50014
"Heart & Soul Productions, LLC",heartsoul_productions@yahoo.com,(317) 753-5397,,,30,,Phone:  (317) 833-9139,OPEN 24 Hours,,"Music Arrangers & Composers, Music Producers, Music-Background & Foreground, Musicians, Recording Service-Sound & Video ",,Indianapolis,Recording Studio,1706036113.50014
